,整數數字
延平北路四段,94
延平南路,682
延平段一小段,261
延平段三小段,316
延平段二小段,415
建國北路一段,588
建國北路三段,143
建國北路二段,101
建國南路一段,135
建國南路二段,613
建業路,613
建民路,441
後港街,666
後街,43
徐州路,175
復興一路,792
復興三路,792
復興二路,1160
復興北路,1164
復興南路一段,535
復興南路二段,928
復興四路,767
復興段一小段,1211
復興段三小段,1070
復興段二小段,1070
德惠段三小段,1070
德惠段二小段,1070
德惠段四小段,1070
德惠街,676
德昌街,560
德行東路,966
德行西路,869
志成街,566
忠勇街,957
忠孝東路一段,413
忠孝東路七段,1207
忠孝東路三段,385
忠孝東路二段,635
忠孝東路五段,188
忠孝東路六段,485
忠孝東路四段,376
忠孝西路一段,848
忠孝西路二段,6
忠義街,408
忠誠路一段,41
忠誠路二段,269
忠順街一段,755
忠順街二段,474
思源街,145
恆光街,211
惠安街,100
惠民街,117
愛國東路,94
愛國西路,898
慶城街,143
懷寧街,156
懷德街,906
懷生段一小段,1234
懷生段三小段,672
懷生段二小段,17
成功段一小段,754
成功路一段,300
成功路三段,218
成功路二段,218
成功路五段,112
成功路四段,113
成福路,666
成都路,483
承德路一段,491
承德路七段,491
承德路三段,666
承德路二段,626
承德路五段,111
承德路六段,626
承德路四段,360
指南段一小段,608
指南段二小段,1055
指南段四小段,1161
指南路,1055
指南路一段,198
指南路三段,1106
指南路二段,1168
振興段一小段,638
振興段三小段,167
振興段四小段,482
振興街,534
撫遠街,175
撫順街,534
政大一街,491
政大三街,608
政大二街,440
政大段一小段,440
政大段三小段,440
政大段二小段,440
政大段四小段,440
故宮路,1171
敦化北路,617
敦化南路一段,64
敦化南路二段,64
敦化段一小段,362
敦化段三小段,444
敦化段二小段,1070
敦化段四小段,807
敦南街,767
敦煌路,465
敬業一路,20
敬業三路,901
敬業二路,149
文化三路,900
文德段一小段,193
文德段三小段,20
文德段二小段,869
文德段五小段,967
文德段四小段,550
文德路,966
文昌段一小段,966
文昌段二小段,965
文昌街,467
文昌路,563
文林北路,967
文林北路與文承路,15
文林段一小段,1021
文林段三小段,966
文林段五小段,965
文林段四小段,566
文林路,900
文林路一段,560
文湖街,1085
斯福路三段,190
新,1105
新中街,560
新光段一小段,1100
新光段三小段,465
新光段二小段,560
新光路一段,869
新園街,807
新安段一小段,807
新安段三小段,807
新安段二小段,807
新安段五小段,807
新安段四小段,807
新安路,807
新富街,807
新明路,807
新東街,807
新民段一小段,807
新民段三小段,807
新民段二小段,1093
新民段四小段,617
新民街,63
新民路,254
新洲美段,315
新湖一路,584
新湖三路,378
新湖二路,43
新生北路一段,546
新生北路三段,669
新生北路二段,662
新生南路一段,1106
新生南路三段,671
新生南路二段,359
新興路,483
新豐街,1055
昆明街,483
昆陽街,520
昌吉街,662
明德路,664
明水路,666
明溪街,1055
星雲街,666
晉江街,491
景中街,613
景仁街,666
景後街,741
景文街,43
景明街,112
景福街,638
景美段一小段,755
景美段三小段,587
景美段二小段,682
景美段五小段,143
景美段四小段,211
景美街,788
景興路,415
景華街,0
景豐街,0
景隆街,367
景雲街,8
木新段三小段,118
木新路三段,185
木新路二段,507
木柵段一小段,451
木柵段三小段,37
木柵段二小段,1071
木柵段四小段,59
木柵路,314
木柵路一段,433
木柵路三段,6
木柵路二段,580
木柵路四段,240
朱崙街,692
杏林一路,186
杏林三路,199
杏林二路,64
杭州北路,966
杭州南路一段,1126
杭州南路二段,767
東園街,1134
東寧路,146
東山路,254
東新街,1070
東明街,608
東湖段一小段,1106
東湖段七小段,1055
東湖段五小段,613
東湖段六小段,112
東湖段四小段,112
東湖路,145
東興路,185
東華街一段,168
東華街二段,119
東豐街,764
東陽街,29
松仁路,422
松信路,6
松勇路,1182
松勤街,407
松山路,755
松平路,41
松德路,839
松智路,839
松江路,1118
松河街,188
松隆路,1120
松高路,101
林口街,386
林森北路,474
林森南路,397
柳州街,187
格致路,901
桂林路,636
桃源段一小段,475
桃源段三小段,1181
桃源段二小段,912
桃源段五小段,993
桃源段四小段,839
桃源街,527
梧州街,29
植福路,268
榮星段三小段,763
榮星段二小段,682
榮星段五小段,8
榮星段六小段,95
榮星段四小段,415
榮華一路,261
榮華一路二,117
榮華三路,672
榮華二路,750
樂利路,495
樂業街,520
樂群三路,666
樂群二路,441
樟新街,248
橋北段一小段,613
橋北段三小段,1199
橋北段二小段,712
正義段一小段,491
正義段三小段,1160
正義段四小段,1229
武成街,40
武昌街一段,141
武昌街二段,539
歸綏街,372
民和街,709
民大道七段,1084
民大道三段,568
民大道二段,574
民大道五段,904
民大道八段,967
民大道六段,1105
民大道四段,708
民族東路,1234
民族街,397
民族西路,385
民樂街,213
民權東路一段,328
民權東路三段,839
民權東路二段,374
民權東路五段,875
民權東路六段,875
民權街,1234
民權西路,301
民生東路一段,857
民生東路三段,1121
民生東路二段,37
民生東路五段,880
民生東路四段,407
民生段,374
民生西路,1046
水源路,875
永保街,1087
永公路,46
永吉段一小段,46
永吉段三小段,201
永吉段二小段,415
永吉路,1140
永安街,119
永平段一小段,185
永平段三小段,828
永平段二小段,898
永平段四小段,980
永平街,295
永康街,111
永新段一小段,440
永新段三小段,1106
永新段二小段,441
永新段四小段,613
永昌段一小段,359
永昌段三小段,359
永昌段二小段,111
永昌段五小段,358
永昌段六小段,533
永昌段四小段,1183
永昌街,669
永春段一小段,666
永春段三小段,539
永春段二小段,666
永福街,167
永綏街,666
永興路一段,1008
永興路二段,807
汀州路一段,166
汀州路三段,353
汀州路二段,352
汀州路四段,1135
江南街,1135
沅陵街,1105
河堤段一小段,966
河堤段三小段,561
河堤段二小段,1105
河堤段五小段,1105
河堤段六小段,1105
河堤段四小段,676
泉州街,966
泉源段一小段,1103
泉源段三小段,576
泉源段二小段,1105
泉源段四小段,1105
泉源路,149
泉源路華南,575
泰安街,869
泰順街,1234
洛陽街,966
洲子街,879
洲美段一小段,149
洲美段二小段,353
浦城街,928
海光段一小段,1170
海光段二小段,191
涼州街,1134
清江路,1015
渭水路,447
港墘路,191
港東街,369
港華街,613
湖口街,69
湖山段三小段,439
湖山段二小段,658
湖山路一段,1229
湖底路,405
湖田段一小段,1161
湖田段二小段,1160
溪口街,613
溪山段一小段,40
溪山段三小段,40
溪山段二小段,792
溪州街,112
溪洲段一小段,821
溪洲段三小段,675
溪洲段二小段,504
溪洲街,217
溫州街,325
溫泉段一小段,907
溫泉段三小段,94
溫泉段二小段,94
溫泉段四小段,342
溫泉路,856
溫泉路銀光,682
漢中段一小段,187
漢中段三小段,673
漢中街,755
漢口街一段,374
漢口街二段,496
潭美段一小段,223
潭美段三小段,803
潭美段五小段,269
潭美段四小段,725
潭美街,109
潮州街,115
濟南路一段,543
濟南路三段,41
濟南路二段,1182
濱江段四小段,41
濱江街,41
牯嶺街,36
牯嶺街與廈門街,291
玉成段一小段,397
玉成段三小段,79
玉成段二小段,96
玉成段五小段,72
玉成段四小段,72
玉成街,397
玉泉段一小段,474
玉泉段二小段,396
珠海路,188
瑞光路,475
瑞安段一小段,494
瑞安段三小段,535
瑞安段二小段,188
瑞安街,965
瑞湖街,64
瑞雲街,313
環山路一段,708
環山路三段,1105
環山路二段,928
環河北路一段,1070
環河北路三段,1070
環河北路二段,805
環河南路一段,613
環河南路三段,135
環河南路二段,135
甘州街,395
甘谷街,1160
百齡段三小段,491
百齡段五小段,638
百齡段六小段,118
百齡段四小段,613
直興段一小段,113
直興段二小段,799
知行路,533
石仙路,441
石潭段一小段,662
石潭段三小段,662
石潭段二小段,422
石潭段五小段,986
石潭段四小段,162
石潭路,507
石牌路一段,507
石牌路二段,185
研究院路一段,211
研究院路三段,473
研究院路二段,119
碧山段一小段,1234
碧山段三小段,1234
碧山段二小段,939
碧湖段一小段,462
碧湖段三小段,38
碧湖段二小段,219
碧湖段五小段,1181
碧湖段四小段,936
磺港路,940
磺溪街,892
社中街,995
社子街,495
社正路,58
祥和段三小段,0
祥和段二小段,385
祥和段四小段,635
祥雲街,413
福和段一小段,229
福和段二小段,232
福國路,728
福壽街,635
福山街,0
福州街,474
福德段一小段,474
福德段三小段,474
福德段二小段,474
福德段四小段,474
福德街,474
福德路,1181
福志路,1123
福星段一小段,881
福星段三小段,58
福星段四小段,686
福林段一小段,280
福林段三小段,763
福林段二小段,218
福林路,143
福榮街,187
福港街,117
福美路,682
福興路,8
福華路,1051
福順段一小段,670
福順段三小段,167
福順段二小段,383
秀山段一小段,281
秀山段三小段,1154
秀山段二小段,442
秀山路,360
秀明路一段,43
秀明路二段,93
稻香路,1093
立功街,709
立德路,1025
立賢路,966
立農段一小段,424
立農段三小段,879
立農段二小段,781
立農段五小段,781
立農段四小段,781
立農街,781
立農街一段,878
立農街二段,474
紗帽路,474
紫雲街,474
紹興北街,396
紹興南街,417
經園街,1125
經貿一路,269
經貿二路,115
羅斯福路,269
羅斯福路一段,1136
羅斯福路三段,1136
羅斯福路二段,1086
羅斯福路五段,219
羅斯福路六段,496
羅斯福路四段,274
美仁段一小段,446
美仁段二小段,838
美崙街,838
美德街,29
義方街,1017
義理街,6
翠宜路,682
翠山段一小段,187
翠山段二小段,603
翠山街,415
翠嶺路,8
老泉段二小段,416
老泉段四小段,187
聖景路,117
育仁路,588
育英街,213
臥龍街,1189
臨江街,986
臨沂段一小段,1140
臨沂段三小段,600
臨沂段二小段,974
臨沂段四小段,974
臨沂街,507
自強街,682
至善段七小段,181
至善段三小段,415
至善段二小段,1140
至善段六小段,986
至善段四小段,483
至善路三段,534
至善路二段,113
至誠路一段,608
至誠路二段,442
致遠一路一段,359
致遠一路二段,360
致遠三路,532
致遠二路,666
興中路,43
興南街,384
興南路,504
興城街,275
興安段一小段,1070
興安段三小段,1070
興安段二小段,1070
興安段四小段,1070
興安街,1063
興寧街,1007
興德路,1069
興東街,1083
興泰段一小段,895
興泰段三小段,1083
興泰段二小段,708
興義街,965
興華路,965
興隆段一小段,1105
興隆段三小段,965
興隆段二小段,879
興隆段四小段,900
興隆路一段,1105
興隆路三段,708
興隆路二段,708
興隆路四段,708
興順街,708
舊宗段,1029
舊宗路一段,708
舊宗路二段,560
舊莊段二小段,465
舊莊段四小段,561
舊莊街一段,1030
舊莊街二段,575
艋舺大道,711
芝山段一小段,86
芝山段二小段,1105
芝玉路一段,1105
芝玉路二段,953
芝蘭段一小段,1030
芝蘭段三小段,353
芝蘭段二小段,1024
芝蘭段四小段,146
草湳段一小段,192
莊敬路,1169
莊頂路,650
莒光段一小段,1024
莒光段三小段,1161
莒光段二小段,594
莒光段四小段,49
莒光路,440
菁山段一小段,440
菁山段二小段,440
菁山路,1106
華中段一小段,671
華中段三小段,113
華中段二小段,113
華中段四小段,1106
華亭街,1156
華岡段一小段,530
華岡段三小段,442
華岡段二小段,1168
華岡段四小段,359
華岡路,532
華榮街,442
華江段一小段,605
華江段三小段,943
華江段二小段,898
華聲街,119
華興段一小段,521
華興段三小段,827
華興段二小段,8
華興段四小段,181
華西街,824
華陰街,46
華齡街,46
萬全街,46
萬利街,6
萬和街,6
萬壽路,422
萬大段一小段,34
萬大段二小段,1159
萬大路,980
萬安街,38
萬寧街,29
萬慶段一小段,763
萬慶段三小段,496
萬慶段二小段,1071
萬慶街,41
萬盛街,758
萬美街一段,689
萬美街二段,396
萬芳段三小段,96
萬芳段二小段,96
萬芳段四小段,386
萬芳路,190
萬芳路萬芳段二小段,560
萬華段一小段,467
萬華段二小段,4
萬隆段一小段,781
萬隆段二小段,781
萬隆街,781
萬青街,177
葫東街,326
葫蘆街,1135
蘭州街,1018
蘭雅段一小段,1018
蘭雅段三小段,78
蘭雅段二小段,167
虎林段一小段,662
虎林段三小段,1167
虎林段四小段,171
虎林街,281
行善路,405
行忠路,405
行愛路,442
行義段一小段,359
行義段三小段,297
行義段二小段,1106
行義段四小段,577
行義路,491
衡陽路,111
裕民一路,664
裕民二路,532
裕民六路,484
裕民四路,111
襄陽路,162
西園路一段,658
西園路二段,143
西安街一段,463
西安街二段,211
西安街二段吉利街,1218
西寧北路,600
西寧南路,605
西昌街,856
西松段一小段,8
西松段三小段,119
西松段二小段,1054
西湖段一小段,986
西湖段二小段,1051
西湖段四小段,1062
西藏路,274
詔安街,680
試院路,959
豐年段一小段,440
豐年段三小段,226
豐年段二小段,512
豐年段四小段,848
豐年路一段,1065
豐年路二段,29
貴德街,41
貴陽街二段,6
赤峰街,6
車前路,825
軟橋段,407
辛亥段三小段,1136
辛亥段四小段,41
辛亥路一段,1181
辛亥路七段,937
辛亥路三段,978
辛亥路二段,79
辛亥路五段,96
辛亥路六段,344
辛亥路四段,397
農安街,79
迪化段一小段,1143
迪化段三小段,199
迪化段二小段,0
迪化街一段,0
迪化街二段,902
通化段一小段,187
通化段三小段,1231
通化段二小段,417
通化段五小段,92
通化段六小段,825
通化段四小段,496
通化街,41
通北街,374
通安街,816
通河東街一段,50
通河東街二段,43
通河街,185
通河西街一段,604
通河西街二段,415
連雲街,463
逸仙段三小段,99
逸仙段二小段,663
逸仙路,828
遼寧街,17
鄭州路,494
酒泉街,604
重慶北路一段,534
重慶北路三段,175
重慶北路二段,40
重慶北路四段,281
